Context,Count,Sample,Frequency
CG,26979462,liver2,97.85
CHH,475852,liver2,1.73
CHG,117866,liver2,0.43
CG,26414629,kidney2,97.96
CHH,426835,kidney2,1.58
CHG,122388,kidney2,0.45
CG,26584599,spleen3,98.24
CHH,376079,spleen3,1.39
CHG,100129,spleen3,0.37
CG,27832564,liver1,97.97
CHH,456497,liver1,1.61
CHG,120832,liver1,0.43
CG,26528040,kidney1,98.13
CHH,396465,kidney1,1.47
CHG,108239,kidney1,0.4
CG,24143398,liver3,97.85
CHH,426081,liver3,1.73
CHG,105083,liver3,0.43
CG,26210947,kidney3,98.1
CHH,403490,kidney3,1.51
CHG,104942,kidney3,0.39
CG,27428936,intestine3,98.09
CHH,422246,intestine3,1.51
CHG,111482,intestine3,0.4
CG,25274949,intestine1,98.02
CHH,404733,intestine1,1.57
CHG,105488,intestine1,0.41
CG,24354777,spleen2,97.97
CHH,398933,spleen2,1.6
CHG,105630,spleen2,0.42
CG,28323258,spleen1,98.09
CHH,435490,spleen1,1.51
CHG,117299,spleen1,0.41
CG,25189952,intestine2,97.99
CHH,403434,intestine2,1.57
CHG,113656,intestine2,0.44
