Methylation_Level,intestine1,intestine2,intestine3,kidney1,kidney2,kidney3,liver1,liver2,liver3,spleen1,spleen2,spleen3
0,0.009032323618576104,0.011277065638279191,0.013782663912136554,0.011223425931159634,0.011930787930448513,0.010359522202967368,0.01945801063031107,0.012816802414520196,0.00890390678464728,0.029962549929358404,0.009686500124299358,0.009918403394252063
10,0.20239540790306987,0.23895786998753105,0.3314848685375614,0.2675496057669913,0.2880486067050064,0.30469645271321616,0.4466331499382979,0.35676697428443144,0.21548913411309997,0.4709266472658117,0.2386507445491312,0.3108406929623348
20,1.1917276481016026,1.4032769697890561,1.3069963577147012,0.9895739773957095,1.140497285031827,1.13784830104023,1.4179602858764728,1.5171300517386823,1.4243535508350664,1.1434563740667136,1.2746557229596602,0.9982998659278713
30,1.26223329146172,1.3671934717343208,1.425064507444641,0.9802630469182114,0.930909278095726,1.1686798559203042,1.546971683420279,1.5299468541532024,1.4380437634516066,1.1145846936736181,1.1401187642149793,1.1170287715366358
40,1.8396659785450318,1.8559428190921383,2.031870067887666,1.3552971167114962,1.2475925175675937,1.5982631931677753,2.1390154478934504,2.172607584616646,2.073751096372045,1.4813454209989338,1.628221022762471,1.5382135499506722
50,4.507986567472699,4.185565184823676,4.734752740296847,3.538982206171893,2.925142149571211,4.046549884261906,4.8850905563072695,5.2362186733630285,5.039522079459809,3.3719400719911556,4.2519189970449744,3.87414536454881
60,4.500493888541359,3.9577637909487993,5.060919803635304,4.56636958497443,3.334972317753413,4.773808552960756,5.40987605972328,5.657653560452585,4.747816800152319,4.167405600912064,4.592636007231085,4.640005747056989
70,6.671439435923827,5.848665902518073,7.715788452774028,8.308412938028045,6.198546854507287,8.051126487632814,8.22460330983999,8.299641173052946,6.66772929951097,7.535858353465071,7.243450550175508,7.920114873144766
80,22.51263032200292,20.995243248912107,22.589192503260776,25.787289666191487,23.609727571565074,25.095208986705863,22.389989289998383,22.7965182108121,22.47926832500613,23.505450728764917,24.829130620523312,24.805804941441696
90,57.3023951364292,60.13611367655602,54.79014803453634,54.19503843191057,60.312632631272415,53.81345876339416,53.52040220637227,52.42070011511186,55.905122044314304,57.17906955893236,54.79153107041458,54.785627790035974
