Sample,Context_Type,Methylation_Level,Frequency
liver2,CG,0,0.00669398077693321
liver2,CG,10,0.29869016661636916
liver2,CG,20,1.1077315033190804
liver2,CG,30,1.2822827971884687
liver2,CG,40,1.950583744034629
liver2,CG,50,5.059733956147829
liver2,CG,60,5.651739830838732
liver2,CG,70,8.38355857503756
liver2,CG,80,23.08678727544678
liver2,CG,90,53.17219817059362
liver2,CHG,0,0.28252422242207254
liver2,CHG,10,2.44939168207965
liver2,CHG,20,17.961922861554648
liver2,CHG,30,12.689834218519335
liver2,CHG,40,12.691531060696045
liver2,CHG,50,14.213598493204147
liver2,CHG,60,6.0679076239119
liver2,CHG,70,4.492389662837459
liver2,CHG,80,9.662667775270222
liver2,CHG,90,19.488232399504522
liver2,CHH,0,0.2931583769743534
liver2,CHH,10,3.131225675209939
liver2,CHH,20,20.65558198767684
liver2,CHH,30,12.807553609105351
liver2,CHH,40,12.155249951665644
liver2,CHH,50,13.018753730151392
liver2,CHH,60,5.89132755562654
liver2,CHH,70,4.484797794272169
liver2,CHH,80,9.592268184225347
liver2,CHH,90,17.970083135092423
kidney2,CG,0,0.005553740694219101
kidney2,CG,10,0.2528106679067876
kidney2,CG,20,0.7494483454603886
kidney2,CG,30,0.7390147330859729
kidney2,CG,40,1.0406506182615702
kidney2,CG,50,2.7021428163916292
kidney2,CG,60,3.2828967614877342
kidney2,CG,70,6.239709064246179
kidney2,CG,80,23.8786848000023
kidney2,CG,90,61.10908845246321
kidney2,CHG,0,0.33500016341471384
kidney2,CHG,10,5.210478151452757
kidney2,CHG,20,19.7617413471909
kidney2,CHG,30,10.120273229401576
kidney2,CHG,40,11.211066444422656
kidney2,CHG,50,13.442494362192372
kidney2,CHG,60,5.623100303951368
kidney2,CHG,70,3.746282315259666
kidney2,CHG,80,9.482955845344316
kidney2,CHG,90,21.066607837369677
kidney2,CHH,0,0.313938641395387
kidney2,CHH,10,1.0573172303114786
kidney2,CHH,20,20.001171412841025
kidney2,CHH,30,10.171377698642333
kidney2,CHH,40,11.197301064814273
kidney2,CHH,50,13.709747326250191
kidney2,CHH,60,5.901577893096864
kidney2,CHH,70,4.354375812667659
kidney2,CHH,80,11.015966357023206
kidney2,CHH,90,22.277226562957583
spleen3,CG,0,0.005401623699496088
spleen3,CG,10,0.28484913389139327
spleen3,CG,20,0.8944802966559698
spleen3,CG,30,0.90123232628034
spleen3,CG,40,1.320249366936097
spleen3,CG,50,3.660389987451005
spleen3,CG,60,4.597560414584399
spleen3,CG,70,7.964724237518121
spleen3,CG,80,25.02286756328354
spleen3,CG,90,55.34824504969964
spleen3,CHG,0,0.28563153531943797
