Sample,Chr01,Chr02,Chr03,Chr04,Chr05,Chr06,Chr07,Chr08,Chr09,Chr10,Chr11,Chr12,Chr13,Chr14,Chr15,Chr16,Chr17,Chr18,Chr19,Chr20,Chr21,Chr22,Chr23,Chr24
intestine1,0.871481212164243,0.8728859231217312,0.8715069000825758,0.8742259916533782,0.870174795309624,0.8716467732470592,0.876100446807779,0.8710144909552985,0.8739679193111836,0.87383247345022,0.8753161757882141,0.8717838623066845,0.8719178324046432,0.8756302220509581,0.872890166909004,0.8758226851235266,0.8714089499711244,0.873235984395265,0.8751713226481744,0.8794699584722038,0.8760536227071579,0.8761011833176771,0.8801638181650473,0.8740384137307761
intestine2,0.8769950663668373,0.8786757909093096,0.8753925720660858,0.8805039714137951,0.8746429383205173,0.8765729177991225,0.8814325402994583,0.8786930493995551,0.8787904490397144,0.8791883459647184,0.8810876023762119,0.8773323731493374,0.8770986563311972,0.8808055024021058,0.8778992112067384,0.88193568784646,0.8761413693471626,0.8780150721211567,0.8810310105712278,0.8849425068362876,0.882199054327542,0.8817617870267899,0.8859527101930642,0.8812879338511419
intestine3,0.859842006932819,0.861029939083857,0.8590968817573693,0.8621771565869445,0.8579073434088729,0.8587627755539936,0.8638386565288619,0.858130496339891,0.863272046129065,0.8615270235021346,0.8623571374759811,0.8594226953452352,0.8607575292473592,0.8633855606734153,0.8617164796212468,0.8650858644110542,0.8593642968862079,0.8598321063385069,0.86323465683286,0.867668262032583,0.8634695961622233,0.8639326617027023,0.8694124123311325,0.8623322943948761
kidney1,0.8714019209075445,0.8687100734495948,0.8723206873887511,0.8721266779705668,0.8721018193410998,0.8741954187054438,0.8725825565198255,0.8646307412240142,0.877369841339444,0.874999516533044,0.8724674927165039,0.8746002119610348,0.8720841384299866,0.8705998211400953,0.8724207561778038,0.8735464909812872,0.8763472163740139,0.8697257788591342,0.8727573997094066,0.8743849344974052,0.8695252904013612,0.8746012351113641,0.8747798906247329,0.8690771259366261
kidney2,0.8855885056675341,0.8861093389994384,0.8856259477859023,0.8875158763522073,0.8859080462733262,0.8867341653675331,0.8897109963639196,0.8830079532550816,0.8903494515389859,0.8886549874953626,0.887723617347121,0.8882604419204825,0.8874590729767147,0.8866950321579558,0.8876984212007987,0.8889928320698534,0.8867339276094158,0.8875359708211209,0.8879698983973847,0.8905667153116662,0.8876825882514814,0.8890430966779262,0.891305072004066,0.8858647949080257
kidney3,0.8659604300765764,0.8661271041988716,0.8652125496734413,0.8684050473587889,0.864996451847062,0.8671147472877753,0.869348732711806,0.8622619150792179,0.8699683719549925,0.8694189674533822,0.8690264840755368,0.8674661343432855,0.8662248268707974,0.8673036756110696,0.8669816472932633,0.8699232263059307,0.8671855395825627,0.8663984961569641,0.8682847841176687,0.8712076452536696,0.8672084097727873,0.8693115607010394,0.8714812418844706,0.864693423761754
liver1,0.853751827872568,0.8555758419123677,0.8536561949536029,0.8544383641467131,0.851405052303367,0.8536217623314084,0.8582367680958022,0.8497032576012674,0.8563594235389576,0.856587524576068,0.8567056976555377,0.852724142230567,0.851429665822037,0.8570494261049123,0.8556951289168977,0.8577505744858539,0.8529130454984905,0.8558597285550629,0.8563854728516305,0.8600081837150156,0.8574284055704073,0.8588653650934005,0.8623202734763635,0.8563225484715451
liver2,0.8519567946691976,0.8535390489845739,0.8499442403852544,0.8526936224131779,0.8491369477228877,0.8507211875906067,0.8558350365086428,0.8488502216530017,0.854354688900981,0.8545040958716711,0.854872852974226,0.8507604047303104,0.8502439082961327,0.8547196566996441,0.8535318535196406,0.8558302058188079,0.8501946457557512,0.8525177957591216,0.8552309365253404,0.859305098853974,0.8552080878010345,0.8562740321187823,0.860649393790726,0.8547525627299285
liver3,0.8653510255875664,0.8669376636361746,0.8640385121346851,0.8682331393140137,0.8641493224950133,0.8650046855805481,0.8696716932093894,0.8642167617382038,0.8682314962855987,0.8678748922741188,0.8691983939205352,0.8652396745579765,0.8657320163021169,0.8683534476662004,0.8671802803101204,0.8706859760686899,0.8643883552974426,0.8670281045561932,0.8687695729708882,0.8730405768249547,0.8687447909060675,0.86976855610839,0.8736117679718778,0.8674156813824606
spleen1,0.8706504449648724,0.8714125995034042,0.8723173273892479,0.872901404766865,0.8704876092421103,0.8727206134081864,0.875126874988375,0.8670607836641551,0.8748311084793695,0.8743413960373009,0.8741194361432387,0.8722911649036512,0.8716264350879951,0.8728507170969002,0.8722817914321845,0.8752113943657105,0.8720907513578725,0.8728448615797187,0.8735398447349859,0.8769259841452491,0.8739919692155037,0.8749379639945299,0.8770863058822237,0.8719404872350414
spleen2,0.8687452098368482,0.8695657097531654,0.8684241319709665,0.8714417863792406,0.868753455636875,0.8698564373445532,0.8727603165598747,0.8664744410242257,0.8725971280768868,0.872451896017751,0.8722088802898307,0.8707379728588291,0.8698986134508689,0.8708169015112943,0.8701479345964163,0.873807202792097,0.8696879093628707,0.8702873194488479,0.8730812801306358,0.8751338459202963,0.8712592561604513,0.8732974605664907,0.8762795159292585,0.8705069192409944
spleen3,0.8689631755888562,0.8689984703200712,0.8689000336619981,0.871578914774865,0.8688303970614131,0.8705130554273357,0.872627051840604,0.8649841592527931,0.8730343678302888,0.8717755626058575,0.8718240619916734,0.8705834910485617,0.8700179107624857,0.8700791356357385,0.8707090488270146,0.8731300288031125,0.8700352532648262,0.870138363172429,0.8723410728649944,0.8748323874651619,0.8702985575884815,0.8724824532623868,0.875283953382455,0.868911236478394
