Sample,Chr01,Chr02,Chr03,Chr04,Chr05,Chr06,Chr07,Chr08,Chr09,Chr10,Chr11,Chr12,Chr13,Chr14,Chr15,Chr16,Chr17,Chr18,Chr19,Chr20,Chr21,Chr22,Chr23,Chr24
intestine1,1192052,1176560,1049336,1126113,1122115,1074244,1074305,1099039,1054163,1013196,1034034,1051558,968791,1027823,997324,996346,949962,999948,934012,798857,915681,920734,882279,571982
intestine2,1182068,1170858,1036870,1121705,1110137,1065993,1071285,1095470,1043614,1000530,1028882,1041030,968454,1024664,989464,990071,942314,994317,930480,790518,912694,916192,881809,563831
intestine3,1277813,1268933,1127963,1212181,1203647,1154886,1153241,1188796,1130173,1082492,1107114,1122595,1049716,1109667,1072736,1075566,1028863,1074278,1008137,859318,988559,994393,956607,624291
kidney1,1266321,1253161,1108391,1197257,1190152,1134939,1140682,1173793,1115400,1071517,1092406,1106792,1040618,1094896,1062489,1058760,1003298,1059073,992669,847796,979742,982439,940603,613482
kidney2,1264121,1252553,1110454,1194563,1191452,1142447,1145895,1166514,1112669,1064965,1092508,1110631,1037813,1097157,1056594,1060031,1008206,1059402,990107,841821,972781,981259,940553,603346
kidney3,1237741,1231034,1090688,1176100,1166794,1119422,1117861,1147066,1094507,1051615,1073123,1090995,1015927,1070127,1036292,1040590,995319,1039365,973556,829267,951489,959696,919454,594545
liver1,1296926,1277661,1144641,1223712,1216821,1171632,1164693,1193721,1145572,1094742,1120358,1136991,1054739,1117758,1088432,1088928,1036110,1085870,1017313,876992,997614,1004428,963329,632926
liver2,1255256,1240213,1105532,1189281,1178518,1132731,1132454,1158406,1109489,1059358,1085158,1102232,1027074,1087628,1055009,1053285,1002633,1052264,986657,846439,966465,974271,937522,605714
liver3,1126337,1122306,985177,1075438,1061370,1019305,1021482,1048586,998945,961757,983671,995087,920558,972145,942524,947081,903745,947426,887513,754236,865971,873602,835558,536199
spleen1,1342614,1322992,1187015,1267291,1264107,1216119,1204869,1236587,1185961,1133989,1157998,1178805,1096497,1160671,1128445,1130838,1076066,1121464,1051216,906540,1032274,1040995,996126,655415
spleen2,1152488,1141546,1009408,1092704,1086601,1040862,1043671,1060506,1022309,977116,1002738,1017871,945309,995307,964468,963097,919487,967612,904808,771428,882380,890642,857047,543842
spleen3,1256629,1247270,1108471,1192563,1185621,1139540,1134642,1166620,1112400,1067573,1088479,1104625,1031518,1088941,1056137,1056621,1012341,1055679,987981,841613,966861,978082,935755,607709
