CellName	Chromosome	Count
Endothelial	Chr01	1
Endothelial	Chr02	0
Endothelial	Chr03	0
Endothelial	Chr04	0
Endothelial	Chr05	0
Endothelial	Chr06	0
Endothelial	Chr07	0
Endothelial	Chr08	0
Endothelial	Chr09	0
Endothelial	Chr10	0
Endothelial	Chr11	0
Endothelial	Chr12	0
Endothelial	Chr13	0
Endothelial	Chr14	0
Endothelial	Chr15	0
Endothelial	Chr16	0
Endothelial	Chr17	9
Endothelial	Chr18	0
Endothelial	Chr19	0
Endothelial	Chr20	1
Endothelial	Chr21	0
Endothelial	Chr22	0
Endothelial	Chr23	1
Endothelial	Chr24	0
Epithelial	Chr01	2
Epithelial	Chr02	2
Epithelial	Chr03	0
Epithelial	Chr04	11
Epithelial	Chr05	2
Epithelial	Chr06	13
Epithelial	Chr07	9
Epithelial	Chr08	0
Epithelial	Chr09	0
Epithelial	Chr10	2
Epithelial	Chr11	6
Epithelial	Chr12	7
Epithelial	Chr13	8
Epithelial	Chr14	11
Epithelial	Chr15	1
Epithelial	Chr16	0
Epithelial	Chr17	2
Epithelial	Chr18	0
Epithelial	Chr19	1
Epithelial	Chr20	4
Epithelial	Chr21	7
Epithelial	Chr22	0
Epithelial	Chr23	2
Epithelial	Chr24	1
Erythroid	Chr01	2
Erythroid	Chr02	0
Erythroid	Chr03	0
Erythroid	Chr04	0
Erythroid	Chr05	0
Erythroid	Chr06	0
Erythroid	Chr07	0
Erythroid	Chr08	0
Erythroid	Chr09	0
Erythroid	Chr10	0
Erythroid	Chr11	0
Erythroid	Chr12	0
Erythroid	Chr13	0
Erythroid	Chr14	0
Erythroid	Chr15	0
Erythroid	Chr16	0
Erythroid	Chr17	0
Erythroid	Chr18	0
Erythroid	Chr19	0
Erythroid	Chr20	0
Erythroid	Chr21	0
Erythroid	Chr22	0
Erythroid	Chr23	0
Erythroid	Chr24	0
Hepatocyte	Chr01	1
Hepatocyte	Chr02	0
Hepatocyte	Chr03	0
Hepatocyte	Chr04	0
Hepatocyte	Chr05	0
Hepatocyte	Chr06	0
Hepatocyte	Chr07	0
Hepatocyte	Chr08	0
Hepatocyte	Chr09	0
Hepatocyte	Chr10	0
Hepatocyte	Chr11	0
Hepatocyte	Chr12	0
Hepatocyte	Chr13	0
Hepatocyte	Chr14	0
Hepatocyte	Chr15	0
Hepatocyte	Chr16	0
Hepatocyte	Chr17	0
Hepatocyte	Chr18	0
Hepatocyte	Chr19	0
Hepatocyte	Chr20	0
Hepatocyte	Chr21	0
Hepatocyte	Chr22	0
Hepatocyte	Chr23	0
Hepatocyte	Chr24	0
Immune	Chr01	1
Immune	Chr02	0
Immune	Chr03	0
Immune	Chr04	0
Immune	Chr05	0
Immune	Chr06	0
Immune	Chr07	0
Immune	Chr08	0
Immune	Chr09	0
Immune	Chr10	0
Immune	Chr11	0
Immune	Chr12	0
Immune	Chr13	0
Immune	Chr14	0
Immune	Chr15	0
Immune	Chr16	0
Immune	Chr17	3
Immune	Chr18	0
Immune	Chr19	0
Immune	Chr20	0
Immune	Chr21	0
Immune	Chr22	0
Immune	Chr23	0
Immune	Chr24	0
Muscle	Chr01	2
Muscle	Chr02	0
Muscle	Chr03	0
Muscle	Chr04	0
Muscle	Chr05	0
Muscle	Chr06	0
Muscle	Chr07	0
Muscle	Chr08	0
Muscle	Chr09	0
Muscle	Chr10	0
Muscle	Chr11	0
Muscle	Chr12	0
Muscle	Chr13	0
Muscle	Chr14	0
Muscle	Chr15	0
Muscle	Chr16	0
Muscle	Chr17	0
Muscle	Chr18	0
Muscle	Chr19	0
Muscle	Chr20	0
Muscle	Chr21	0
Muscle	Chr22	0
Muscle	Chr23	0
Muscle	Chr24	0
Neural	Chr01	1
Neural	Chr02	0
Neural	Chr03	0
Neural	Chr04	0
Neural	Chr05	0
Neural	Chr06	0
Neural	Chr07	0
Neural	Chr08	0
Neural	Chr09	0
Neural	Chr10	0
Neural	Chr11	0
Neural	Chr12	0
Neural	Chr13	0
Neural	Chr14	0
Neural	Chr15	0
Neural	Chr16	0
Neural	Chr17	0
Neural	Chr18	0
Neural	Chr19	0
Neural	Chr20	0
Neural	Chr21	0
Neural	Chr22	0
Neural	Chr23	0
Neural	Chr24	0
Reproductive	Chr01	2
Reproductive	Chr02	0
Reproductive	Chr03	0
Reproductive	Chr04	0
Reproductive	Chr05	0
Reproductive	Chr06	0
